	Label_LCLC	Label_SCLC	Label_LUAD	Label
SF200229FR19	0.23902677965563332	0.2455229943416818	0.515450226002685	2
SF200229FR07	0.45202578733083937	0.5331266432619456	0.014847569407214866	1
SF200229FR02	0.3993193080888419	0.2836875996139779	0.31699309229718015	0
SF200229FR20	0.05043948725535445	0.12935933432804747	0.8202011784165981	2
SF200229FR22	0.008928333116420422	0.27980105922398807	0.7112706076595916	2
SF200229FR18	0.011032290915649773	0.27179894515147	0.7171687639328803	2
SF200229FR25	0.0015611784644499087	0.06567140510670064	0.9327674164288495	2
SF200229FR09	0.15953209357882914	0.15001683535863225	0.6904510710625387	2
SF200229FR28	0.0009348859325511419	0.14385809353062987	0.855207020536819	2
SF200229FR17	0.3474432586107271	0.20263816624530295	0.44991857514397005	2
SF200229FR11	0.19886824891703409	0.7043445053276003	0.09678724575536582	1
SF200229FR21	0.01745365249690367	0.2135451687642919	0.7690011787388045	2
SF200229FR15	0.48072699353591725	0.4853564637789041	0.033916542685178776	1
SF200229FR29	0.27409972449197967	0.33806528733266283	0.38783498817535755	2
SF200229FR04	0.6400838935040291	0.3566966455207379	0.0032194609752329473	0
SF200229FR08	0.6484281810342515	0.3450032337589251	0.006568585206823514	0
SF200229FR23	0.43864268850067545	0.26272037547345584	0.2986369360258687	0
SF200229FR03	0.3883527429343139	0.5100897556967806	0.1015575013689054	1
SF200229FR27	0.00012526933789159796	0.19366671571319732	0.806208014948911	2
SF200229FR16	0.013268917048268268	0.5101465001087742	0.4765845828429576	1
SF200229FR06	0.5582388219403069	0.34556067250772704	0.09620050555196587	0
SF200229FR05	0.7259551644832737	0.2710896728922745	0.002955162624451867	0
SF200229FR14	0.5632074666389117	0.4361558907003528	0.0006366426607354076	0
SF200229FR12	0.06922370482513135	0.25393378299748637	0.6768425121773822	2
SF200229FR10	0.5100746023237887	0.4215499381041277	0.06837545957208356	0
SF200229FR26	0.02632351385439554	0.24474103277866763	0.7289354533669369	2
SF200229FR13	0.5655289274276573	0.43295126336037476	0.0015198092119679556	0
